iter	Passed	Remaining
1418	3855	17879
1419	3859	17883
1420	3864	17890
1421	3866	17887
1422	3869	17883
1423	3871	17879
1424	3874	17875
1425	3877	17873
1426	3879	17869
1427	3881	17865
1428	3884	17860
1429	3886	17856
1430	3888	17852
1431	3891	17850
1432	3894	17845
1433	3896	17841
1434	3899	17838
1435	3901	17834
1436	3904	17833
1437	3907	17832
1438	3910	17829
1439	3912	17824
1440	3915	17820
1441	3917	17817
1442	3920	17813
1443	3923	17814
1444	3926	17811
1445	3929	17808
1446	3931	17804
1447	3933	17800
1448	3936	17798
1449	3939	17794
1450	3941	17790
1451	3944	17786
1452	3946	17782
1453	3949	17778
1454	3952	17780
1455	3955	17778
1456	3958	17775
1457	3960	17770
1458	3962	17766
1459	3966	17766
1460	3968	17762
1461	3971	17758
1462	3973	17753
1463	3975	17749
1464	3977	17744
1465	3980	17741
1466	3982	17737
1467	3985	17733
1468	3988	17732
1469	3991	17731
1470	3993	17726
1471	3997	17726
1472	3999	17723
1473	4002	17718
1474	4005	17717
1475	4008	17716
1476	4011	17715
1477	4013	17712
1478	4016	17708
1479	4018	17704
1480	4021	17699
1481	4023	17695
1482	4026	17694
1483	4028	17689
1484	4031	17685
1485	4034	17683
1486	4036	17681
1487	4040	17684
1488	4045	17689
1489	4049	17693
1490	4053	17695
1491	4056	17693
1492	4058	17689
1493	4061	17685
1494	4063	17680
1495	4066	17678
1496	4068	17674
1497	4071	17674
1498	4074	17671
1499	4076	17666
1500	4079	17662
1501	4081	17658
1502	4086	17663
1503	4091	17670
1504	4095	17674
1505	4098	17672
1506	4100	17668
1507	4103	17666
1508	4105	17660
1509	4108	17657
1510	4110	17651
1511	4112	17647
1512	4115	17644
1513	4118	17644
1514	4121	17641
1515	4123	17637
1516	4126	17633
1517	4130	17637
1518	4132	17632
1519	4136	17634
1520	4139	17631
1521	4141	17628
1522	4144	17624
1523	4147	17625
1524	4150	17622
1525	4152	17618
1526	4155	17615
1527	4157	17611
1528	4160	17609
1529	4163	17608
1530	4166	17604
1531	4169	17602
1532	4172	17602
1533	4175	17600
1534	4178	17599
1535	4181	17596
1536	4184	17594
1537	4186	17590
1538	4189	17586
1539	4192	17586
1540	4195	17583
1541	4197	17578
1542	4199	17575
1543	4202	17571
1544	4204	17567
1545	4208	17570
1546	4211	17567
1547	4214	17564
1548	4216	17559
1549	4218	17555
1550	4222	17554
1551	4224	17550
1552	4226	17546
1553	4229	17543
1554	4231	17538
1555	4234	17535
1556	4237	17535
1557	4240	17532
1558	4242	17529
1559	4245	17526
1560	4247	17522
1561	4250	17518
1562	4253	17515
1563	4255	17512
1564	4258	17508
1565	4260	17504
1566	4263	17503
1567	4266	17501
1568	4268	17497
1569	4271	17495
1570	4274	17490
1571	4276	17487
1572	4279	17483
1573	4282	17483
1574	4285	17480
1575	4287	17476
1576	4290	17473
1577	4292	17469
1578	4295	17467
1579	4297	17463
1580	4300	17460
1581	4303	17457
1582	4305	17454
1583	4308	17451
1584	4311	17449
1585	4313	17445
1586	4317	17444
1587	4320	17445
1588	4324	17446
1589	4327	17444
1590	4329	17441
1591	4332	17437
1592	4334	17434
1593	4338	17436
1594	4341	17435
1595	4344	17432
1596	4346	17428
1597	4349	17424
1598	4352	17422
1599	4356	17425
1600	4358	17422
1601	4361	17419
1602	4364	17415
1603	4366	17412
1604	4369	17410
1605	4372	17407
1606	4374	17404
1607	4377	17399
1608	4379	17396
1609	4382	17392
1610	4385	17391
1611	4387	17388
1612	4390	17385
1613	4393	17382
1614	4395	17379
1615	4398	17375
1616	4401	17375
1617	4404	17371
1618	4407	17369
1619	4409	17365
1620	4411	17362
1621	4414	17359
1622	4417	17357
1623	4420	17353
1624	4422	17350
1625	4424	17345
1626	4427	17342
1627	4430	17341
1628	4433	17338
1629	4435	17334
1630	4437	17330
1631	4440	17325
1632	4443	17323
1633	4446	17322
1634	4448	17319
1635	4451	17316
1636	4454	17312
1637	4456	17309
1638	4459	17309
1639	4462	17306
1640	4465	17302
1641	4467	17299
1642	4470	17295
